id,author,year,title,journal,vol,pg,url,pdf,created_at,updated_at,doi,user_id
78,Afas,2006,Clonal variation in stomatal characteristics related to biomass production of 12 poplar (Populus) clones in a short rotation coppice culture,Environmental and Experimental Botany,58,279–286,http://dx.doi.org/10.1016/j.envexpbot.2005.09.003,http://ac.els-cdn.com/S0098847205001656/1-s2.0-S0098847205001656-main.pdf?_tid=9dac6e48-89fe-11e3-b095-00000aab0f26&acdnat=1391121421_a6f43e4b55bc82cf4da57048d47353c6,,2015-06-10 21:44:14.089715,"",
61,Kilpatrick,1996,"Establishment, Growth and Dry Matter Yield of Miscanthus sacchariflorus over Two Years Under UK Conditions","",,"",(paper copy available in blue folder),(paper copy available in blue folder),,2015-03-12 15:59:39.575346,"",
62,Wang,2010,Miscanthus and switchgrass leaf physiology,unpublished data,,"",(email:dwng@illinois.edu),"",,2015-03-12 15:59:57.03319,"",
55,Elliott,1993,Equations for estimating biomass of herbaceous and woody vegetation in early-successional southern Appalachian pine-hardwood forests,USDA Research Note,,"","","",,,"",
56,Schwarz,1994,Studies of the growth and yield of miscanthus x giganteus in Germany,"Institute for Soil Science and Plant Nutrition, Federal Centre for Agricultural Research",,"","","",,2010-11-08 20:48:09,"",
138,Kilpatrick,1994,An assessment of the yield of Miscanthus sacchariflorus at three fertile sites in the UK,Aspects of Applied Biology,40,525–532,http://www.cabdirect.org/abstracts/19950710422.html,"",,2015-11-02 20:44:31.629808,"",
842,Shawn P. Serbin,2014,Spectroscopic determination of leaf morphological and biochemical traits for northern temperate and boreal tree species,Ecological Applications,24,1651–1669,http://dx.doi.org/10.1890/13-2110.1,"",2015-10-26 13:55:51.614852,2015-10-26 13:55:51.614852,10.1890/13-2110.1,65
523,dePury,1995,Scaling photosynthesis and water use from leaves to paddocks,"(Thesis) The Austrialian National University, Canberra",,"","","",2012-06-04 19:15:43,2012-06-04 19:15:43,"",61
843,Aditya Singh,2015,Imaging spectroscopy algorithms for mapping canopy foliar chemical and morphological traits and their uncertainties,Ecological Applications,,"",http://dx.doi.org/10.1890/14-2098.1,"",2015-10-26 13:58:41.395205,2015-10-26 13:58:41.395205,10.1890/14-2098.1,65
97,Coleman,2006,Post-establishment fertilization of Minnesota hybrid poplar plantations,Biomass and Bioenergy,30,740–749,http://dx.doi.org/10.1016/j.biombioe.2006.01.001,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4JW7WR4-1-20&_cdi=5690&_user=571676&_orig=search&_coverDate=09%2F30%2F2006&_sk=999699991&view=c&wchp=dGLbVtb-zSkWz&md5=b4a33e9b5a87ad86f397b2648cf0fea7&ie=/sdarticle.pdf,,,"",
112,Bullard,1995,"Shoot growth, radiation interception and dry matter production and partitioning during the establishment phase of Miscanthus sinensis 'Giganteus' grown at two densities in the UK",Annals of Applied Biology,126,365–378,http://dx.doi.org/10.1111/j.1744-7348.1995.tb05372.x,http://www3.interscience.wiley.com/cgi-bin/fulltext/119233072/PDFSTART,,2014-01-30 19:44:27.47148,"",
131,Jorgensen,2003,Light interception and dry matter conversion efficiency of Miscanthus genotypes estimated from spectral reflectance measurements,New Phytologist,157,263–270,http://www3.interscience.wiley.com/search/allsearch?mode=viewselected&product=journal&ID=118833767&view_selected.x=54&view_selected.y=11,http://www3.interscience.wiley.com/cgi-bin/fulltext/118833767/PDFSTART,,2014-01-30 19:48:52.316743,"",
145,Christian,2001,Agronomy of Miscanthus,Miscanthus for Energy and Fiber,,21–45,http://books.google.com/books?id=85AbeqOJkkcC&pg=PA138&lpg=PA138&dq=usc+santiago+de+compostela+MXGnthus&source=bl&ots=v6fJED41VD&sig=cNQT1tv3XQVzddVSOyZYbPU3LvU&hl=en&ei=Jf0nS6GLDcz_nAe78sizDQ&sa=X&oi=book_result&ct=result&resnum=5&ved=0CBgQ6AEwBA#v=onepage&q=usc%20santiago%20de%20compostela%20MXGnthus&f=false,http://books.google.com/books?id=85AbeqOJkkcC&pg=PA138&lpg=PA138&dq=usc+santiago+de+compostela+MXGnthus&source=bl&ots=v6fJED41VD&sig=cNQT1tv3XQVzddVSOyZYbPU3LvU&hl=en&ei=Jf0nS6GLDcz_nAe78sizDQ&sa=X&oi=book_result&ct=result&resnum=5&ved=0CBgQ6AEwBA#v=onepa,,2010-11-01 19:51:01,"",
152,Danalatos,1996,"GROWTH AND BIOMASS PRODUCTIVITY OF MISCANTHUS SINENSIS ""GIGANTEUS"" UNDER OPTIMUM CULTURAL MANAGEMENT IN NORTH-EASTERN GREECE",Biomass and Bioenergy,,548–553,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImNlAxeFZXdWNTbWFRVUJiQzVmNUJXZw/edit,"",,2012-04-10 17:37:12,"",
45,Knapp,1985,Effect of Fire and Drought on the Ecophysiology of Andropogon gerardii and Panicum virgatum in a Tallgrass Prairie,Ecological Society of America,66,1309–1320,http://dx.doi.org/10.2307/1939184,http://www.jstor.org/stable/pdfplus/1939184.pdf,,2015-06-10 21:44:14.089715,"",
46,Shipley,2006,"Net assimilation rate, specific leaf area and leaf mass ratio: which is most closely correlated with relative growth rate? A meta-analysis",Functional Ecology,20,565–574,http://dx.doi.org/10.1111/j.1365-2435.2006.01135.x,http://www3.interscience.wiley.com/cgi-bin/fulltext/118572684/PDFSTART,,2015-06-10 21:44:14.089715,"",
128,Jorgensen,1997,"N2O emission from energy crop fields of Miscanthus ""giganteus"" and winter rye",Atmospheric Environment,31,2899–2904,http://dx.doi.org/10.1016/S1352-2310(97)00128-3,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6VH3-3T7HYY7-1-1&_cdi=6055&_user=571676&_orig=search&_coverDate=09%2F30%2F1997&_sk=999689981&view=c&wchp=dGLzVzz-zSkWA&md5=006992b2f04dfbbfeeb770e30c3e8ae4&ie=/sdarticle.pdf,,2015-06-10 21:44:14.089715,"",
298,Gill,2000,Global patterns of root turnover for terrestrial ecosystems,New Phytologist,147,13–31,http://www.jstor.org/stable/2588686,http://onlinelibrary.wiley.com/doi/10.1046/j.1469-8137.2000.00681.x/pdf,2010-12-20 13:57:26,2015-09-16 19:59:15.727239,10.1046/j.1469-8137.2000.00681.x,
76,Bowersox,1977,"Soil Fertility, Growth, and Yield of Young Hybrid Poplar Plantations in Central Pennsylvania",Forest Science,23,463–469,http://ilurbana.library.ingentaconnect.com/content/saf/fs/1977/00000023/00000004/art00015,http://docserver.ingentaconnect.com/deliver/connect/saf/0015749x/v23n4/s15.pdf?expires=1264033644&id=54517551&titleid=4023&accname=University+at+Illinois+at+Urbana-Champaign&checksum=DBECF4A99754AC03AE6FAEFC7B760F12,,,"",
146,Clifton-Brown,2001,Miscanthus productivity,Miscanthus for Energy and Fiber,,46–67,http://books.google.com/books?id=85AbeqOJkkcC&pg=PA138&lpg=PA138&dq=usc+santiago+de+compostela+MXGnthus&source=bl&ots=v6fJED41VD&sig=cNQT1tv3XQVzddVSOyZYbPU3LvU&hl=en&ei=Jf0nS6GLDcz_nAe78sizDQ&sa=X&oi=book_result&ct=result&resnum=5&ved=0CBgQ6AEwBA#v=onepage&q=usc%20santiago%20de%20compostela%20MXGnthus&f=false,"",,2014-01-29 20:05:38.491931,"",
168,Danalatos,2007,Potential growth and biomass productivity of Miscanthus x giganteus as affected by plant density and N-fertilization in central Greece,Biomass and Bioenergy,31,145–152,http://dx.doi.org/10.1016/j.biombioe.2006.07.004,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4M5WHV2-1-C&_cdi=5690&_user=571676&_pii=S0961953406001516&_orig=search&_coverDate=03%2F31%2F2007&_sk=999689997&view=c&wchp=dGLzVtb-zSkWb&md5=864327e39d13e9e430c804867ec2525f&ie=/sdarticle.pdf,,2010-10-04 19:18:36,"",
154,Rohricht,1998,"The suitability for cultivation, yield potential and ecological performance of energy crops grown on various soils in the German state of Saxony",Proceedings of the 10th European Biomass Conference,,784–786,"","",,2012-07-23 18:54:53,"",
190,Ciria,1996,Influence of the rotation age and plant density on the composition and quality of poplar biomass,Biomass for Energy and the Environment,,968–973,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImcGZHTG9wbjFTS1NKT1AxeUp2M1FWdw/edit,"",,2012-04-10 17:39:45,"",
191,Curt,1996,Adaption of tree tobacco Nicotiana glaucda R.C. Graham to warm-arid conditions with set-aside land use purposes: photosynthetic responses,Biomass for Energy and the Environment,,479–484,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImTnptNGRXNXlURGVKN3lJZmhGQklKUQ/edit,"",,2012-04-10 17:44:24,"",
193,Dalianis,1994,"Growth, biomass productivity and energy potential of giant reed (Arundo donax) and elephant grass (Miscanthus sinensis ""giganteus"")","Biomass for Energy, Environment, Agriculture and Industry",,575–581,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImel9UQkRHdnZUOWUwM3FEZ2x1Z0Ftdw/edit,"",,2012-04-10 17:46:44,"",
195,Skillman,2008,Quantum yield variation across the three pathways of photosynthesis: not yet out of the dark,Journal of Experimental Botany,59,1647–1661,http://dx.doi.org/10.1093/jxb/ern029,http://jxb.oxfordjournals.org/cgi/reprint/59/7/1647.pdf,,,"",
196,Trocsanyi,2009,Year and canopy characteristics of switchgrass (Panicum virgatum L.) as influenced by cutting management,Biomass and Bioenergy,33,442–448,http://dx.doi.org/10.1016/j.biombioe.2008.08.014,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4TS571B-4-1&_cdi=5690&_user=4602858&_pii=S0961953408002158&_orig=search&_coverDate=03%2F31%2F2009&_sk=999669996&view=c&wchp=dGLbVtz-zSkzV&md5=f84c8faf8a13682cca304eb3ef2b1928&ie=/sdarticle.pdf,,2010-10-28 22:30:00,"",
120,Beuch,2000,Effect if the organic residues of Miscanthus x giganteus on the soil organic matter level of arable soils,Journal of Agronomy and Crop Science,183,111–119,http://dx.doi.org/10.1046/j.1439-037x.1999.00327.x,http://www3.interscience.wiley.com/cgi-bin/fulltext/119094921/PDFSTART,,2014-01-24 16:15:52.185312,"",
69,Labrecque,2005,Field performance and biomass production of 12 willow and poplar clones in short-rotation coppice in sourthern Quebec (Canada),Biomass and Bioenergy,29,1–9,http://dx.doi.org/10.1016/j.biombioe.2004.12.004,http://ac.els-cdn.com/S0961953405000206/1-s2.0-S0961953405000206-main.pdf?_tid=5aa3c784-8a8d-11e2-93aa-00000aab0f02&acdnat=1363035229_ec1315a9c73d8ff8b88f39c2341a5ca8,,2015-06-10 21:44:14.089715,10.1016/j.biombioe.2004.12.004,
73,Felix,2008,Biomass production of hybrid poplar (Populus sp.) grown on deep-trenched municipal biosolids,Ecological Engineering,33,8–14,http://dx.doi.org/10.1016/j.ecoleng.2007.10.009,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6VFB-4S97J9T-2-C&_cdi=6006&_user=571676&_orig=browse&_coverDate=05%2F01%2F2008&_sk=999669998&view=c&wchp=dGLzVlz-zSkzk&md5=d5f2bbd25ae9603b248d4fc3dd91ae6c&ie=/sdarticle.pdf,,2015-06-10 21:44:14.089715,10.1016/j.ecoleng.2007.10.009,
70,Larocque,1999,Performance and morphological response of the hybrid poplar DN-74 (Populus deltoides x nigra) under different spacings on a 4-year rotation,Annals of Forest Science,56,275–287,http://dx.doi.org/10.1051/forest:19990402,http://www.afs-journal.org/index.php?option=article&access=standard&Itemid=129&url=/articles/forest/pdf/1999/04/AFS_0003-4312_1999_56_4_ART0002.pdf,,,10.1051/forest:19990402,
150,Acaroglu,2005,The cultivation and energy balance of Miscanthus x giganteus production in Turkey,Biomass and Bioenergy,29,42–48,https://dx.doi.org/10.1016/j.biombioe.2005.01.002,http://ac.els-cdn.com/S0961953405000152/1-s2.0-S0961953405000152-main.pdf?_tid=54b249de-89fd-11e3-8e8c-00000aab0f01&acdnat=1391120869_5b00771f9997a772303a2a3edfc45739,,2015-06-10 21:44:14.089715,"",
99,Laureysens,2005,Growth and production of a short rotation coppice culture of poplar. III. Second rotation results,Biomass and Bioenergy,29,10–21,http://dx.doi.org/10.1016/j.biombioe.2005.02.005,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4FWSDK1-1-N&_cdi=5690&_user=571676&_orig=search&_coverDate=07%2F31%2F2005&_sk=999709998&view=c&wchp=dGLzVtz-zSkWb&md5=0774a57b1756c1fbd6cbaa85e05bcc20&ie=/sdarticle.pdf,,2015-03-12 14:47:31.281594,10.1016/j.biombioe.2005.02.005,
95,Karim,1999,Variation in response to nutrition in a three-generation pedigree of Populus,Canadian Journal of Forest Research,29,1743–1750,"",http://article.pubs.nrc-cnrc.gc.ca/RPAS/rpv?hm=HInit&journal=cjfr&volume=29&afpf=x99-149.pdf,,,10.1139/x99-149,
90,Auclair,1991,Influence of spacing and short rotations on Populus trichocarpa x deltoides coppice,Canadian Journal of Forest Research,22,541–548,http://rparticle.web-p.cisti.nrc.ca/rparticle/AbstractTemplateServlet?calyLang=eng&journal=cjfr&volume=22&year=0&issue=4&msno=x92-071,http://article.pubs.nrc-cnrc.gc.ca/RPAS/rpv?hm=HInit&journal=cjfr&volume=22&afpf=x92-071.pdf,,2010-09-21 15:04:17,"",
92,Hocker,1982,Effects of thinning on biomass growth in young Populus tremuloides plots,Canadian Journal of Forest Research,12,731–737,"",http://article.pubs.nrc-cnrc.gc.ca/RPAS/rpv?hm=HInit&journal=cjfr&volume=12&afpf=x82-111.pdf,,2010-09-16 19:37:35,"",
101,Afas,2005,Growth and production of a short rotation coppice culture of poplar. II. Clonal and year-to-year differences in leaf and petiole characteristics and stand leaf area index,Biomass and Bioenergy,28,536–547,http://dx.doi.org/10.1016/j.biombioe.2004.11.010,http://www.sciencedirect.com/science/article/pii/S0961953404002132,,2013-02-08 21:47:03,"",
102,Bungart,2004,Growth dynamics and biomass accumulation of 8-year-old hybrid poplar clones in a short-rotation plantation on a clayey-sandy mining substrate with respect to plant nutrition and water budget,European Journal of Forest Research,123,105–115,http://dx.doi.org/10.1007/s10342-004-0024-8,http://www.springerlink.com/content/yrk7ynhhqdd6j9tv/fulltext.pdf,,,"",
103,Burgess,2004,Poplar (Populus spp) growth and crop yields in a silvoarable experiment at three lowland sites in England,Agroforestry Systems,63,157–169,http://dx.doi.org/10.1007/s10457-004-7169-9,http://www.springerlink.com/content/m73511u1g15k23l0/fulltext.pdf,,,"",
110,Yazaki,2004,Carbon dynamics and budget in a Miscanthus sinensis grassland in Japan,Ecological Research,19,511–520,http://dx.doi.org/10.1111/j.1440-1703.2004.00665.x,http://www.springerlink.com/content/bb41741fca67a0eb/fulltext.pdf,,2014-01-30 19:23:14.029242,"",
167,Clifton-Brown,2000,Overwintering Problems of Newly Established Miscanthus Plantations can be Overcome by Identifying Genotypes with Improved Rhizome Cold Tolerance,New Phytologist,148,287–294,http://www.jstor.org/stable/2588728,http://www.jstor.org/stable/pdfplus/2588728.pdf?acceptTC=true,,2012-07-23 18:55:08,"",
147,Angelini,2008,Comparison of Arundo donax L. and Miscanthus x giganteus in a long-term field experiment in Central Italy: Analysis of productive characteristics and energy balance,Biomass and Bioenergy,33,635–643,http://dx.doi.org/10.1016/j.biombioe.2008.10.005,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4V1V4RV-2-1&_cdi=5690&_user=571676&_orig=search&_coverDate=04%2F30%2F2009&_sk=999669995&view=c&wchp=dGLbVlW-zSkzk&md5=41d4a825162fe21f00038f95dc34bdd0&ie=/sdarticle.pdf,,2015-06-10 21:44:14.089715,"",
66,Walle,2007,"Short-rotation forestry of birch, maple, poplar and willow in Flanders (Belgium) I-Biomass production after 4 years of tree growth",Biomass and Bioenergy,31,267–275,http://dx.doi.org/10.1016/j.biombioe.2007.01.019,http://ac.els-cdn.com/S0961953407000165/1-s2.0-S0961953407000165-main.pdf?_tid=4aa51c54-7c7b-11e2-8026-00000aab0f6b&acdnat=1361488155_2598dc6ebc6f752019176165ed3ee5d4,,2015-06-10 21:44:14.089715,"",
148,Khale,2001,Cropping of Miscanthus in Central Europe: biomass production and influence on nutrients and soil organic matter,European Journal of Agronomy,15,171–184,https://dx.doi.org/10.1016/S1161-0301(01)00102-2,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6T67-44B20SW-2-5&_cdi=5023&_user=571676&_orig=search&_coverDate=11%2F30%2F2001&_sk=999849996&view=c&wchp=dGLbVlW-zSkzk&md5=9c0b566976058a5350350f01c4886771&ie=/sdarticle.pdf,,2015-06-10 21:44:14.089715,"",
93,Brown,2002,Growth and nutrition of hybrid poplars over 3 years after fertilization at planting,Canadian Journal of Forest Research,32,226–232,"",http://article.pubs.nrc-cnrc.gc.ca/RPAS/rpv?hm=HInit&journal=cjfr&volume=32&afpf=x01-191.pdf,,2010-07-20 18:38:33,10.1139/x01-191,
98,Lodhiyal,1995,Structure and Function of an Age Series of Poplar Plantations in Central Himalaya: I Dry Matter Dynamics,Annals of Botany,76,191–199,http://dx.doi.org/10.1006/anbo.1995.1087,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6W9X-45NHYN9-24-1&_cdi=6694&_user=571676&_orig=search&_coverDate=08%2F31%2F1995&_sk=999239997&view=c&wchp=dGLbVlb-zSkWA&md5=2b9bb8f840351b726d163017a568744b&ie=/sdarticle.pdf,,,10.1006/anbo.1995.1087,
294,Tjoelker,2005,Linking leaf and root trait syndromes among 39 grassland and savannah species.,The New Phytologist,167,493–508,"","",2010-12-07 23:18:58,2010-12-07 23:18:58,10.1111/j.1469-8137.2005.01428.x,
844,Michael Keller,2004,Ecological Research in the Large-Scale Biosphere-Atmosphere Experiment in Amazonia: Early Results,Ecological Applications,14,"",http://www.jstor.org/stable/4493625,"",2015-10-26 17:35:53.364582,2015-10-26 17:35:53.364582,"",65
845,Joshua B. Fisher,2009,The land-atmosphere water flux in the tropics,Global Change Biology,15,2694–2714,"","",2015-10-26 17:38:10.050682,2015-10-26 17:38:10.050682,"",65
151,Danalatos,1998,Influence of fertilisation and irrigation on the growth and biomass productivity of Miscanthus sinensis x giganteus under Greek conditions,Sustainable Agriculture for Food Energy and Industry,,319–323,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImV2d0ZF85SVNTdDZuRmJhalZFb19vUQ/edit,"",,2012-04-10 17:34:09,"",
87,Laureysens,2003,Biomass production of 17 poplar clones in a short-rotation coppice culture on a waste disposal site and its relation to soil characteristics,Forest Ecology and Management,187,295–309,http://dx.doi.org/10.1016/j.foreco.2003.07.005,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6T6X-49SFGP8-2-Y&_cdi=5042&_user=571676&_orig=browse&_coverDate=01%2F23%2F2004&_sk=998129997&view=c&wchp=dGLzVlz-zSkWb&md5=584a90ca1f724e9bba43000049d9a751&ie=/sdarticle.pdf,,2011-03-01 22:26:31,"",
86,Hofmann-Schielle,1999,"Short-rotation plantations of balsam poplars, aspen and willows on former arable land in the Federal Republic of Germany. I. Site-growth relationships",Forest Ecology and Management,121,41–55,http://dx.doi.org/10.1016/S0378-1127(98)00555-6,http://ac.els-cdn.com/S0378112798005556/1-s2.0-S0378112798005556-main.pdf?_tid=0d9744f2-7d2c-11e2-b8f6-00000aacb360&acdnat=1361564073_1763fd2daee80736105121242436ccb6,,2015-05-07 21:42:08.867086,"",
