id,name,description,citation_id,created_at,updated_at
34,Local allometric equation id:05 (citation_id: 702 site_id: 819),"dead_leaf_dry_weight = 2.65 * leaf_length - 42.6
",693,2013-09-24 18:13:26,2013-09-26 15:02:33
35,CEPS-1,"""COAID Enhanced Production System for Sisal"": trial used to confirm the fiber production performance of four varieties under two regimes of density planting, 6400 and 8000 at various stages of growth.

",719,2013-10-08 15:57:31,2013-10-08 16:00:14
36,CEPS-2,"""COAID Enhanced Production System for Sisal"": trial used to demonstrate the production capability of the Hybrid sisal 11648 at a density of 6666 plants/ha

",719,2013-10-08 15:58:25,2013-10-08 16:00:23
37,ENT 1,Demonstrate enhanced nursery production methods,719,2013-10-08 16:02:05,2013-10-08 16:02:05
38,ENT-2,Demonstrate enhanced nursery production methods,719,2013-10-08 16:02:39,2013-10-08 16:02:39
39,UHDT,3 trials used to evaluate the effect of ultra high density planting on Sisal performance,719,2013-10-08 16:03:34,2013-10-08 16:03:34
12,Crop Coefficient,"",643,2012-10-01 00:12:55,2012-10-01 00:12:55
13,SEBAL,model,649,2012-10-04 16:42:38,2016-07-12 17:32:22.084464
8,Eddy Covariance,"",848,2012-09-27 16:34:18,2016-07-12 17:38:10.136158
9,Lysimeter,"",849,2012-09-27 17:14:59,2016-07-12 17:44:46.232263
21,IRGA,"infrared gas analysis as a general method

More specific details about the instrument used and method of measurement (e.g. open vs. closed path) would be more useful",850,2013-01-18 19:58:18,2016-07-12 17:51:26.105352
1000000001,Soil_respiration_chamber_root_respiration,Using a sealed soil-respiration chamber to measure the respiration of excised roots,1000000200,2020-03-11 17:58:00.811786,2020-03-11 17:58:00.811786
2000000001,spectroscopy,"Determination of leaf, wood and soil traits (e.g. C:N, ligno-cellulose, water content) using a high spectral resolution spectrometer/spectroradiometer either in the field or laboratory.  Spectral samples can be collected on fresh, dried, or dried and ground (i.e. homogenized) material and are converted to trait estimates using statistical (e.g. PLSR) or model inversion (e.g. PROSPECT) approaches.  Typically, the algorithms to convert spectra to traits are created within a calibration step, validated, and then later used to estimate traits on larger spectral dataset.",2000000004,2016-04-08 11:33:34.864071,2018-10-12 14:17:39.248354
2000000003,Leaf-level gas exchange - light response curve,"Measurements of photosynthetic gas exchange across incident light levels to derive the parameters describing leaf-level responses to light.  Measurements are generally combined with statistical curve fitting for photosynthesis parameter estimation.

Also see Bernacchi et al 2003 PC&E; Posada et al., 2009 Annals of Botany; Thornley, 1976, etc",2000000022,2018-10-12 14:23:59.52589,2018-10-12 14:24:41.762891
2000000002,Leaf-level gas exchange,Measurement of leaf-level gas exchange using a infrared gas analyzer (e.g. Li-Cor 6400) combined with statistical curve fitting for photosynthesis parameter estimation,2000000022,2017-11-10 19:39:38.922053,2017-11-10 19:41:35.113081
2000000004,Specific Leaf Area Flatbed Scanner,"Measurement of fresh leaf area using a flatbed scanner with a DPI of at least 600 dpi.  Leaves/needles are spread out on the scanning surface and arranged to avoid overlap.  Twisted needles or curled leaves are taped to the surface in order to get the correct, unbiased area.  A threshold is applied to highlight the leaves/needles or another approach is used to detect the foliage in the images and the area of the leaves is calculated based on pixel statistics.  The leaf material is then dried to calculate leaf dry mass and used to calculate the specific leaf area (typically in m2 / kg) on a dry-weight basis",2000000034,2019-01-17 13:30:48.5718,2019-01-17 13:35:30.374221
