id,name,definition,created_at,updated_at,control,user_id
92,plant date/arable,continuously-cropped,,2011-04-06 21:30:15,f,
93,plant date/arable,alternately-cropped,,2011-04-06 21:30:24,f,
94,0.3 mM N,byrd2000 0.3 mM N,,,t,
95,1.0 mM N,byrd 2000 1.0 mM N,,,f,
96,10.0 mM N,byrd 2000 10.0 mM N,,,f,
98,dry,byrd 2000 water deficit,,,f,
99,wet,rain exclosure,,,f,
64,genotype M.×giganteus,Gig-3,,2014-06-16 22:12:30.140296,f,
21,Row Spacing/Rotation : 1m/2yrs,"",,2015-03-16 01:17:25.027688,t,
2,unfertilized,"",,,t,
3,Nfert 50 kg N ha-1,"",,,f,
23,Row Spacing/Rotation : 2m/2yrs,"",,2015-03-16 01:17:51.927191,f,
22,Row Spacing/Rotation : 1m/4yrs,"",,2015-03-16 01:17:59.784672,f,
24,Row Spacing/Rotation : 2m/4yrs,"",,2015-03-16 01:19:07.746133,f,
25,rotation/density : 3 years/2000 stools ha-1,"",,2015-03-16 15:16:51.398355,t,
26,rotation/density : 1 year/5000 stools ha-1,"",,2015-03-16 15:16:58.078814,t,
27,rotation/density : 2 years/5000 stools ha-1,"",,2015-03-16 15:17:05.108826,t,
28,rotation/density : 3 years/5000 stools ha-1,"",,2015-03-16 15:17:30.20193,t,
29,rotation/density : 2 years/10000 stools ha-1,"",,2015-03-16 15:17:35.547411,t,
30,rotation/density : 1 year/20000 stools ha-1,"",,2015-03-16 15:17:41.289226,t,
100,watered,byrd 2000 well-watered,,2011-03-08 22:24:46,t,
101,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:05,t,
2540,observational,"",2015-04-02 20:12:05.459212,2015-04-02 20:12:05.459212,t,190
2541,control (N0P0K0),"",2015-04-02 20:42:06.579984,2015-04-02 20:42:06.579984,t,190
2542,water stress (N0P0K0),"",2015-04-02 20:42:27.986144,2015-04-02 20:42:27.986144,f,190
108,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:11,t,
109,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:14,t,
110,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:21,t,
111,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:25,t,
112,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:28,t,
113,observational,agricultural crops with no experimental treatments,,2010-06-08 18:46:35,t,
114,observational,agricultural crops with no experimental treatments,,2010-06-08 18:53:26,t,
115,observational,agricultural crops with no experimental treatments,,2010-06-08 18:56:10,t,
116,observational,agricultural crops with no experimental treatments,,2010-06-08 18:56:13,t,
117,Unfertilized,"",,2011-04-11 20:33:40,t,
118,Fertilization_N100K65P16,"",,2011-04-11 20:33:32,f,
119,Nfert 60 kg N ha-1/harvest time 1st year,harvested 1994-02-00,,,f,
120,Nfert 60 kg N ha-1/harvest time 2nd year,harvested 1995-03-00,,,f,
121,Nfert 120 kg N ha-1/harvest time 3rd year,harvested 1996-03-00,,,f,
122,Nfert 180 kg N ha-1/harvest time 4th year,harvested 1997-03-00,,,f,
123,Nfert 120 kg N ha-1/harvest time 3rd year,harvested 1995-03-00,,,f,
124,Nfert 180 kg N ha-1/harvest time 4th year,harvested 1997-03-00,,,f,
125,Nfert 180 kg N ha-1/harvest time 4th year,harvested 1997-03-00,,,f,
2543,water stress (N5P5K5),"",2015-04-02 20:42:45.491514,2015-04-02 20:42:45.491514,f,190
2544,water stress (N10P10K10),"",2015-04-02 20:43:03.524426,2015-04-02 20:43:03.524426,f,190
2545,water stress (N10P10K0),"",2015-04-02 20:43:14.213274,2015-04-02 20:43:14.213274,f,190
129,Unfertilized,"",,2011-04-06 20:55:05,t,
130,Fertilization_N50,50 kg N ha-1 Urea,,2011-04-06 20:55:31,f,
131,Fertilization_N50,50 kg N ha-1 Fertilizer blend,,2011-04-06 20:55:56,f,
132,Row Spacing,0.5m,,2011-03-28 22:16:30,t,
133,Row Spacing,1.0m,,2011-03-28 22:16:33,t,
134,Row Spacing,1.5m,,2011-03-28 22:16:36,t,
135,Observational,"",,2011-04-04 19:37:34,t,
136,Unfertilized,"",,2011-04-11 20:46:22,t,
137,Fertilization_N8,"",,2011-04-11 20:46:35,f,
138,Fertilization_N16,"",,2011-04-11 20:46:45,f,
139,Fertilization_P12.5,"",,2011-04-11 20:46:53,f,
140,Fertilization_P25,"",,2011-04-11 20:47:00,f,
2546,control (N5P5K5),"",2015-04-02 20:43:28.345546,2015-04-02 20:43:28.345546,t,190
2547,control (N10P10K10),"",2015-04-02 20:43:43.380323,2015-04-02 20:43:43.380323,t,190
2576,Cultivars,"",2015-11-02 17:04:28.729372,2016-05-06 20:36:08.330837,t,2
2578,not irrigated,"",2015-11-02 17:21:17.527461,2015-11-02 17:21:17.527461,t,2
2579,irrigated,"",2015-11-02 17:21:28.013284,2015-11-02 17:21:28.013284,f,2
148,Density,5000 stems ha-1,,2011-04-04 19:47:17,f,
149,Density,15000 stems ha-1,,2011-04-04 19:47:19,t,
150,Density,35000 stems ha-1,,2011-04-04 19:47:04,f,
151,Fertilization_N100,100 kg N ha-1,,2011-04-04 19:47:40,f,
153,Density_500,500 stems ha-1,,2011-04-15 21:04:59,t,
154,Density_1111,1111 stems ha-1,,2011-04-15 21:05:01,t,
155,Density_833,833 stems ha-1,,2011-04-15 21:05:03,t,
156,Density_625,625 stems ha-1,,2011-04-15 21:05:06,t,
162,cutting frequency 1/year,nov,,2010-08-23 19:53:01,t,
163,cutting frequency 2/year,june and nov,,,f,
164,cutting frequency 1/year,nov,,,t,
166,cutting frequency 1/year,nov,,,t,
168,cutting frequency 1/year,nov,,,t,
169,cutting frequency 2/year,june and nov,,,f,
170,cutting frequency 1/year,nov,,,t,
171,cutting frequency 2/year,june and nov,,,f,
172,cutting frequency 1/year,nov,,,t,
173,cutting frequency 2/year,june and nov,,,f,
174,cutting frequency 1/year,nov,,,t,
176,observational,agricultural crops with no experimental treatments,,2010-06-08 18:58:16,t,
177,observational,agricultural crops with no experimental treatments,,2010-06-08 18:58:21,t,
178,Control,No fertilization,,2010-11-11 20:37:29,t,
179,Control,No fertilization,,2010-11-11 20:39:37,t,
180,Observational,"",,2011-03-28 19:35:09,t,
181,Observational,"",,2011-03-28 19:36:01,t,
182,observational,agricultural crops with no experimental treatments,,2010-06-08 18:58:34,t,
183,observational,agricultural crops with no experimental treatments,,2010-06-08 18:58:37,t,
184,observational,agricultural crops with no experimental treatments,,2010-06-08 18:59:04,t,
187,Observational,unthinned,,2011-04-06 20:23:54,t,
188,Unfertilized,"",,2011-03-01 23:34:08,t,
191,Pfert,50 kg P ha-1,,2011-03-01 23:38:08,f,
192,Kfert/MgFert,50 kg K ha-1/12 kg Mg ha-1,,2011-03-01 23:38:56,f,
193,Pfert/KFert/MgFert,"50 kg P,K ha-1/12 kg Mg ha-1",,2011-03-01 23:39:48,f,
190,N2fert,100 kg N ha-1,,2015-01-28 17:14:41.298585,f,
195,N1Fert/PFert/KFert/MgFert/CaFert,"50 kg N,P,K ha-1/12 kg Mg ha-1/ 877 kg Ca ha-1",,2015-01-28 17:17:50.199793,f,
196,N2fert/PFert/KFert/MgFert,"100 kg N ha-1/50 kg P,K ha-1/12 kg Mg ha-1",,2015-01-28 17:18:18.369362,f,
165,cutting frequency 2/year,june and nov,,,f,
167,cutting frequency 2/year,june and nov,,,f,
102,harvest time mid-aug,"",,,f,
103,harvest time mid-sept,"",,,f,
104,harvest time mid-oct,"",,,f,
152,plant date,"",,,f,
157,plant age : 2 yrs,"",,2015-03-16 16:26:25.282063,t,
158,plant age : 3 yrs,"",,2015-03-16 16:26:52.527913,t,
159,plant age : 4 yrs,"",,2015-03-16 16:26:59.192998,t,
160,plant age : 5 yrs,"",,2015-03-16 16:27:08.348452,t,
161,plant age : 6 yrs,"",,2015-03-16 16:27:15.00288,t,
197,Unfertilized/RowSpacing,2.0X0.3,,2011-03-01 23:47:44,t,
198,Nfert/RowSpacing,50 kg N ha-1/2.0X0.3,,2011-03-01 23:47:08,f,
199,Nfert/RowSpacing,100 kg N ha-1/2.0X0.3,,2011-03-01 23:48:18,f,
200,NfertPFertKFertMgFertRowSpacing,"50 kg N,P,K ha-1/12 kg Mg ha-1/2.0X0.3",,2011-03-01 23:48:56,f,
201,Unfertilized/RowSpacing,2.0X0.6,,2011-03-01 23:50:09,t,
202,NFert/RowSpacing,50 kg N ha-1/2.0X0.6,,2011-03-01 23:50:46,f,
203,Nfert/RowSpacing,100 kg N ha-1/2.0X0.6,,2011-03-01 23:51:19,f,
204,NfertPFertKFertMgFertRowSpacing,"50 kg N,P,K ha-1/12 kg Mg ha-1/2.0X0.6",,2011-03-01 23:51:56,f,
205,Unfertilized/RowSpacing,2.0X0.6,,2011-03-01 23:52:36,t,
206,NfertRowSpacing,50 kg N ha-1/2.0X0.6,,2011-03-01 23:53:27,f,
207,NfertRowSpacing,100 kg N ha-1/2.0X0.6,,2011-03-01 23:53:55,f,
208,NfertPFertKFertMgFertRowSpacing,"50 kg N,P,K ha-1/12 kg Mg ha-1/2.0X0.6",,2011-03-01 23:54:23,f,
209,Unfertilized/RowSpacing,2.0X1.0,,2011-03-01 23:55:13,t,
210,NfertRowSpacing,50 kg N ha-1/2.0X1.0,,2011-03-01 23:55:40,f,
211,NfertRowSpacing,100 kg N ha-1/2.0X1.0,,2011-03-01 23:55:59,f,
212,NfertPFertKFertMgFertRowSpacing,"50 kg N,P,K ha-1/12 kg Mg ha-1/2.0X1.0",,2011-03-01 23:56:42,f,
2548,control (N10P10K0),"",2015-04-02 20:43:57.285944,2015-04-02 20:43:57.285944,t,190
2549,cool site (Outside Pots near Cali),"",2015-04-02 22:29:44.129852,2015-04-02 22:29:44.129852,f,190
2550,cool site to 7 days warm site (Outside Pots near Cali moved to Palmira),"",2015-04-02 22:30:47.755806,2015-04-02 22:30:47.755806,f,190
2580,observational,"",2015-11-02 17:27:37.669353,2015-11-02 17:27:37.669353,t,2
218,observational,agricultural crops with no experimental treatments,,2010-06-08 19:01:45,t,
219,observational,agricultural crops with no experimental treatments,,2010-06-08 19:01:48,t,
220,observational,agricultural crops with no experimental treatments,,2010-06-08 19:01:52,t,
2552,observational,"",2015-04-02 23:01:28.258406,2015-04-02 23:01:38.104186,t,190
2553,observational,"",2015-04-02 23:31:21.615053,2015-04-02 23:31:21.615053,t,190
2551,cool site to 4 weeks warm site (Outside Pots near Cali moved to Palmira),"",2015-04-02 22:33:10.384897,2015-04-02 22:34:14.892867,f,190
2581,SoilType-Planosol PL,"",2015-11-02 17:30:54.291827,2015-11-02 17:30:54.291827,t,2
2577,Observational,Comparison of two soil types SoilTypes: PL & PV,2015-11-02 17:20:02.373523,2016-05-06 19:29:57.348388,t,2
267,Nfert 200/224 kg N ha-1,"200 kg first year, 224 kg second year",,,f,
268,Nfert 200/224 kg N ha-1,"200 kg first year, 224 kg second year",,,f,
274,Unfertilized,"",,2011-03-01 21:52:28,t,
275,Nfert/PFert/KFert,336 kg N ha-1/112 kg P ha-1/224 kg K ha-1,,2011-03-01 22:04:03,f,
276,Observational,"",,2011-04-04 21:03:35,t,
277,Row Spacing_0.5,0.5 m,,2011-04-04 20:47:39,t,
278,Row Spacing_1.0,1.0 m,,2011-04-04 20:47:42,f,
279,Row Spacing_1.5,1.5 m,,2011-04-04 20:47:46,f,
280,Observational,"",,2011-03-01 22:33:22,t,
282,Nfert type 224 kg N ha-1/HF every other year,cattle manure,,,f,
284,Nfert type 112 kg N ha-1/HF every year,NH4NO3,,,f,
285,Nfert type 112 kg N ha-1/HF every other year,NH4NO3,,,f,
286,Nfert type 112 kg N ha-1/HF every year,cattle manure,,,f,
287,Nfert type 112 kg N ha-1/HF every other year,cattle manure,,,f,
288,Nfert type 224 kg N ha-1/HF every year,NH4NO3,,,f,
289,Nfert type 224 kg N ha-1/HF every other year,NH4NO3,,,f,
290,Nfert type 224 kg N ha-1/HF every year,cattle manure,,,f,
291,observational,agricultural crops with no experimental treatments,,2010-06-08 19:03:32,t,
294,Nfert 50 kg N ha-1/yr,50 kg N ha-1 applied after harvest,,,f,
688,"beaeeN0, beaeeN120","",,,f,
227,observational,short rotation,,2010-06-08 19:02:05,t,
228,observational,short rotation,,2010-06-08 19:02:07,t,
295,Nfert 100 kg N ha-1/yr,50 kg N ha-1 applied after harvest and at end of May,,,f,
296,Nfert 150 kg N ha-1/yr,75 kg N ha-1 applied after harvest and at end of May,,,f,
2554,Observational,"",2015-04-07 00:38:10.537318,2015-04-07 00:38:10.537318,t,97
1763,NOBS-1850,"",2012-07-16 19:24:27,2012-07-16 19:24:27,t,15
331,rotation/density : 5 yrs/5555 plants ha-1,"",,2015-04-07 01:32:49.514108,t,
332,rotation/density : 5 yrs/4167 plants ha-1,"",,2015-04-07 01:32:56.709486,t,
333,rotation/density : 10 yrs/4167 plants ha-1,"",,2015-04-07 01:33:02.313423,t,
334,rotation/density : 5 yrs/8333 plants ha-1,"",,2015-04-07 01:33:08.200817,t,
335,rotation/density : 10 yrs/8333 plants ha-1,"",,2015-04-07 01:33:16.223382,t,
336,rotation/density : 10 yrs/5555 plants ha-1,"",,2015-04-07 01:33:21.270765,t,
324,"lewhoK0RP, lewhoK2RP, lewhoK4RP",rhizome plant rhizome cutting,,,f,
325,"lewhoK0DP, lewhoK2DP, lewhoK4DP",direct plant tillering of shoots,,,f,
342,Plant Age_5,5 yrs,,2011-04-15 21:01:27,t,
343,Plant Age_6,6 yrs,,2011-04-15 21:01:30,t,
344,Plant Age_7,7 yrs,,2011-04-15 21:01:33,t,
345,Plant Age_8,8 yrs,,2011-04-15 21:01:38,t,
346,observational,agricultural crops with no experimental treatments,,2010-06-08 19:04:56,t,
359,Observational,"",,2011-04-06 21:41:22,t,
2582,Irrigated,"",2016-05-06 19:10:23.309167,2016-05-06 19:10:23.309167,f,2
2583,Cultivars-ratoon1,"",2016-05-06 19:15:03.840579,2016-05-06 19:15:03.840579,f,2
2584,Cultivars,Comparison across cultivars,2016-05-06 19:15:39.72117,2016-05-06 19:15:39.72117,t,2
2585,Cultivars-cycle,"",2016-05-06 19:20:27.672516,2016-05-06 19:20:27.672516,f,2
2586,Cultivars-Ratoon1,"",2016-05-06 19:24:32.828238,2016-05-06 19:24:32.828238,f,2
2587,Cultivars-Ratoon2,"",2016-05-06 19:24:59.165606,2016-05-06 19:25:13.466553,f,2
2588,Cultivars-Ratoon3,"",2016-05-06 19:25:25.703867,2016-05-06 19:25:25.703867,f,2
378,Unfertilized,"",,2011-04-11 20:38:01,t,
379,Fertilization_N112,"",,2011-04-11 20:38:11,f,
387,Pfert 450 mg P kg-1,greenhouse experiment,,,f,
388,PFert 900 kg P ha-1,field experiment,,,f,
389,cutting frequency 1/year,feb,,,t,
390,cutting frequency 2/year,jul and wintertime,,,f,
297,observational,"",,2010-06-08 19:03:55,t,
298,observational,"",,2010-06-08 19:03:59,t,
299,unfertilized,"",,2010-06-08 19:04:03,t,
300,Kfert 166 kg K ha-1,"",,,f,
301,Kfert 332 kg K ha-1,"",,,f,
310,water holding capacity,"",,,f,
311,point of wilting,"",,,f,
312,rhizome plant rhizome cutting,"",,,t,
315,direct plant tillering of shoots (in vitro sterile culture),"",,,f,
318,"unfertilized, rhizome plant rhizome cutting","",,2010-08-23 20:31:03,t,
319,"Kfert 2 g per pot, rhizome plant rhizome cutting","",,,t,
320,"Kfert 4 g per pot, rhizome plant rhizome cutting","",,,t,
321,"unfertilized, direct plant tillering of shoots (in vitro sterile culture)","",,2010-08-23 20:31:47,f,
309,DP (direct plants) : micropropagation,"",,2015-02-20 01:37:17.531121,f,
338,plant date : 1983,"",,2015-03-18 05:43:15.470038,t,
339,plant date : 1984,"",,2015-03-18 05:43:21.871668,t,
340,plant date : 1985,"",,2015-03-18 05:43:32.790956,t,
341,plant date : 1986,"",,2015-03-18 05:43:42.921389,t,
2555,Treatment 3,Double Row: 75-125 cm,2015-04-16 04:08:18.256236,2015-04-22 17:03:50.951538,t,97
2556,Treatment 4,Double Row: 75-125 cm,2015-04-16 04:08:21.971569,2015-05-08 19:08:55.922379,t,97
2557,Treatment 5,Double Row: 75-150 cm,2015-04-16 04:08:25.522694,2015-05-08 19:09:04.489738,,97
2558,Treatment 6,Double Row: 75-150 cm,2015-04-16 04:08:28.715229,2015-05-08 19:09:10.223148,,97
2559,Treatment 7,Double Row: 75-150 cm,2015-04-16 04:08:31.988118,2015-05-08 19:09:17.238839,,97
2560,Treatment 8,Double Row: 75-200 cm,2015-04-16 04:08:34.987844,2015-05-08 19:09:27.743326,,97
2561,Treatment 9,Single row: 100 cm,2015-04-16 04:08:38.385395,2015-05-08 19:09:46.682285,,97
2562,Treatment 10,Single row: 100 cm,2015-04-16 04:08:42.050344,2015-05-08 19:09:51.363102,,97
2563,Treatment 11,Single row: 100 cm,2015-04-16 04:08:45.385084,2015-05-08 19:09:56.045274,,97
2564,Treatment 12,Single row: 150 cm,2015-04-16 04:08:48.95239,2015-05-08 19:10:04.724314,,97
2565,Treatment 13,Single row: 150 cm,2015-04-16 04:08:53.977521,2015-05-08 19:10:07.93086,,97
2566,Treatment 14,Single row: 150 cm,2015-04-16 04:08:57.90491,2015-05-08 19:10:11.474456,,97
2567,Treatment 15,Single row: 150 cm,2015-04-16 04:09:01.68124,2015-05-08 19:10:17.290114,,97
2568,Treatment 16,Single row: 200 cm,2015-04-16 04:09:05.43224,2015-05-08 19:10:23.186812,,97
445,Observational,"",,2011-04-04 21:29:41,t,
448,unfertilized,nursery trial,,2010-06-08 19:07:38,t,
449,Nfert 75 kg N ha-1,nursery trial,,,f,
450,Nfert 150 kg N ha-1,nursery trial,,,f,
451,unfertilized,experimental trial,,2010-06-08 19:07:44,t,
452,Nfert 75 kg N ha-1,experimental trial,,,f,
453,Nfert 150 kg N ha-1,experimental trial,,,f,
461,Row Spacing_2x2,2m x 2m,,2011-04-15 20:58:53,t,
462,Row Spacing_4x4,4m x 4m,,2011-04-15 20:59:00,t,
463,Row Spacing_6x6,6m x 6m,,2011-04-15 20:59:05,t,
465,Unfertilized/HF 1/year,fall,,,f,
466,Nfert 62/100 kg N ha-1/ HF 1/year,"62 kg for first year, 100 kg for years after first/fall",,,f,
467,Unfertilized/HF 2/year,late-june or early-july and fall,,,f,
468,Nfert 62/100 kg N ha-1/HF 2/year,"62 kg for first year, 100 kg for years after first/late-june or early-july and fall",,,f,
469,harvest frequency 1/year,oct,,2010-08-23 21:12:28,f,
470,harvest frequency 2/year,mid-june and nov,,,f,
471,observational,agricultural crops with no experimental treatments,,2010-06-08 19:08:16,t,
472,harvest frequency 1/year,oct,,2010-08-23 21:12:23,f,
473,harvest frequency 2/year,mid-june and nov,,,f,
474,harvest frequency 1/year,oct,,,f,
475,harvest frequency 2/year,mid-june and nov,,,f,
476,observational,agricultural crops with no experimental treatments,,,t,
477,harvest frequency 1/year,oct,,2010-08-23 21:12:44,f,
478,harvest frequency 2/year,mid-june and nov,,,f,
479,harvest frequency 1/year,oct,,,f,
480,harvest frequency 2/year,mid-june and nov,,,f,
481,Observational,"",,2011-03-30 19:48:34,t,
493,observational,agricultural crops with no experimental treatments,,2010-06-08 19:09:02,t,
391,Unfertilized/row spacing 24.4cm,"",,2010-08-23 20:51:35,f,
494,observational,agricultural crops with no experimental treatments,,2010-06-08 19:09:05,t,
495,observational,agricultural crops with no experimental treatments,,2010-06-08 19:09:08,t,
496,observational,agricultural crops with no experimental treatments,,2010-06-08 19:09:13,t,
497,observational,agricultural crops with no experimental treatments,,2010-06-08 19:09:16,t,
499,Nfert,soy face N fertilized,,,f,
500,rotation/density,1 yr/10000 cuttings ha-1,,2011-04-15 20:59:54,t,
501,rotation/density,2 yrs/10000 cuttings ha-1,,2011-04-15 21:00:00,t,
502,rotation/density,3 yrs/10000 cuttings ha-1,,2011-04-11 21:22:59,f,
503,rotation/density,2 yrs/7500 cuttings ha-1,,2011-04-11 21:23:29,f,
504,Density_111100,111100 trees ha-1,,2011-11-09 15:17:20,f,
505,Density_27800,27800 trees ha-1,,2011-04-04 21:11:09,f,
506,Density_6900,6900 trees ha-1 study year 1973,,2011-04-04 21:14:22,f,
507,Density_1700,1700 trees ha-1,,2011-04-04 21:12:06,f,
511,observational,agricultural crops with no experimental treatments,,2010-06-08 19:13:24,t,
2569,Fertilized : 20 kg N ha-1,"",2015-04-22 17:27:26.892627,2015-04-22 17:27:26.892627,,97
2570,Fertilized : 40 kg N ha-1,"",2015-04-22 17:27:32.782382,2015-04-22 17:27:32.782382,,97
2571,Fertilized : 60 kg N ha-1,"",2015-04-22 17:27:37.100278,2015-04-22 17:27:37.100278,,97
516,Nfert 112 kg N ha-1/harvest frequency 2/year,56 kg N ha-1 applied at growth and after 1st harvest,,,f,
517,Nfert 224 kg N ha-1/harvest frequency 2/year,112 kg N ha-1 applied at growth and after 1st harvest,,,f,
518,Nfert 448 kg N ha-1/harvest frequency 2/year,224 kg N ha-1 applied at growth and after 1st harvest,,,f,
519,Nfert 896 kg N ha-1/harvest frequency 2/year,448 kg N ha-1 applied at growth and after 1st harvest,,,f,
520,Nfert 112 kg N ha-1/harvest frequency 3/year,"37.33 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
521,Nfert 224 kg N ha-1/harvest frequency 3/year,"74.67 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
522,Nfert 448 kg N ha-1/harvest frequency 3/year,"149.33 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
897,W,More amount of Water was added,2010-11-14 05:58:22,2010-11-14 06:00:22,f,
524,Nfert 896 kg N ha-1/harvest frequency 3/year,"298.67 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
508,1976 Study 2.78 plants m-2,"",,2015-08-11 16:39:32.053712,f,
509,1976 Study 0.69 plants m-2,"",,2015-08-11 16:39:37.429075,f,
510,1976 Study 0.31 plants m-2,"",,2015-08-11 17:47:52.160476,f,
536,Nfert 112 kg N ha-1/harvest frequency 2/year,56 kg N ha-1 applied at growth and after 1st harvest,,,f,
537,Nfert 224 kg N ha-1/harvest frequency 2/year,112 kg N ha-1 applied at growth and after 1st harvest,,,f,
538,Nfert 448 kg N ha-1/harvest frequency 2/year,224 kg N ha-1 applied at growth and after 1st harvest,,,f,
539,Nfert 896 kg N ha-1/harvest frequency 2/year,448 kg N ha-1 applied at growth and after 1st harvest,,,f,
540,Nfert 112 kg N ha-1/harvest frequency 3/year,"37.33 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
541,Nfert 224 kg N ha-1/harvest frequency 3/year,"74.67 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
542,Nfert 448 kg N ha-1/harvest frequency 3/year,"149.33 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
544,Nfert 896 kg N ha-1/harvest frequency 3/year,"298.67 kg N ha-1 applied at growth, after 1st harvest and after 2nd harvest",,,f,
552,Observational,"",,2011-03-30 19:58:35,t,
553,unburned,burned treatments at Konza,,,t,
498,Control,soy face control,,2010-06-08 19:09:36,t,
2248,Additional Fertilization: 45 weeks after planting,"",2014-06-23 15:01:01.327652,2014-06-23 15:01:01.327652,f,97
2245,Additional Fertilization: 15 weeks after planting,"",2014-06-23 14:58:40.663985,2014-06-23 14:58:40.663985,f,97
2246,Additional Fertilization: 25 weeks after planting,"",2014-06-23 15:00:07.290382,2014-06-23 15:00:07.290382,f,97
